Unique Films,revenue,rating,cat,popularity,genre,Inciting Incident,pp1,Lock In,pp2,First Culmination (Midpoint),pp3,Main Culmination (End of Act Two),pp4,Third Act Twist,pp5,runtime
The Shawshank Redemption,28341469,8.5,rate,136.747729,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]","A batch of new inmates arrives at Shawshank Prison, and the cons bet on who will break down crying first. Ellis 'Red' Redding (Morgan Freeman) puts his money on Andy Dufresne (Tim Robbins), but when the cons ""go fishin' with the first-timers"" that night and the chief guard Hadley savagely beats a ""fresh fish"" because of his crying, Andy doesn't make a sound, costing Red two packs of cigarettes.",18,"While tarring a prison roof with Red and some other cons, Andy overhears Hadley complaining about paying taxes for an upcoming inheritance. Andy approaches Hadley, who threatens to throw Andy off the roof, as Andy informs Hadley how he could shelter the money from the IRS, offering to set it up for Hadley ""nearly free of charge"", asking only three beers apiece for each of his ""co-workers"".",34,"When a donation of old books and records arrive at the warden's office, Andy finds a copy of Mozart's ""Le Nozze de Figaro"", locks the guard assigned to the warden's office in the bathroom, and plays the record on the phonograph over the prison's PA system. Norton, the warden, arrives furious at the act of defiance. Hadley breaks into the office, and Andy is sent to solitary confinement for two weeks.",65,"With new information to prove his innocence, Andy asks Norton to help him get another trial, assuring Norton he won't reveal the money laundering schemes he set up for him, but Norton reacts by throwing Andy in solitary and luring Tommy, the only inmate who can testify on Andy's behalf, to meet him alone, where Norton has Hadley shoot him four times in the chest.",92,"While Andy is not accounted for as usual from his cell, Norton finds Andy's shoes in a shoebox instead of his own and rushes to Andy's cell, demanding an explanation. With increasing hostility, he throws one of Andy's sculpted rocks at a poster of Raquel Welch, and the rock punches through and into the wall. Norton tears the poster away to find a tunnel just wide enough for a man to crawl through.",112,142
The Godfather,245066411,8.4,rate,143.659698,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]","Michael Corleone (Al Pacino) attends his sister’s wedding with his girlfriend Kay Adams (Dianne Keaton) at the Corleone family estate. It’s a high society affair, with all the top Italian families are in attendance. When Kay mentions that Luca Brasi (Lenny Montana), one of the guests, looks like a scary guy, Michael explains that Luca does the dirty work for his father, Don Vito Corleone (Marlon Brando). He uses strong arm tactics, forcing people to sign contracts with guns to their heads. Kay is visibly stunned. Michael responds, “That’s my family Katie, it’s not me.”",22,"After refusing to finance Virgil “The Turk” Sollozzo (Al Lettieri) in a new narcotics business venture, Don Vito Corleone is shot down in the street. Michael, during a night on the town with Kay, learns of this from a newspaper headline and rushes to his father’s side – right into the arms of the family that he had worked so hard to distance himself from.",45,"Michael realizes that the attempts on his father’s life are not going to stop. He suggests that his brother Santino “Sonny” Corleone (James Caan), the new Don, set up a meeting between himself and The Turk and Capt. McCluskey (Sterling Hayden), a dirty cop on The Turk’s payroll, in the guise of establishing a truce. But instead, Michael murders The Turk and McCluskey with a planted gun and flees to Italy, where he is protected by “The family”.",88,"After Santino is murdered in a hail of bullets, Don Vito makes a deal with the rival Italian families to ensure Michael’s safety. Michael returns from Italy and takes his place as the new Don Corleone.",137,"During the ceremony where Michael is to become godfather to his sister’s baby, members of the Corleone gang strike at all the heads of the rival families, murdering the key players. This official ceremony where he is becoming godfather to his niece is in essence also where he officially becomes the true Godfather of the Corleone family, taking back any lost power through a tremendous force of violence and cunning. The Corleone legacy is safe and will live on into the future under the competent guidance of Don Michael Corleone.",160,175
Schindler's List,321365567,8.3,rate,104.469351,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",,,,,,,,,,,
Spirited Away,274925095,8.3,rate,118.968562,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",,,,,,,,,,,
Pulp Fiction,213928762,8.3,rate,121.463076,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",,,,,,,,,,,
Fight Club,100853753,8.3,rate,146.757391,"[{""id"": 18, ""name"": ""Drama""}]","During a flight for a business trip, the narrator (Edward Norton) meets Tyler Durden (Brad Pitt), who is a soap salesman, and as the narrator explains, ""by far the most interesting single-serving friend I've ever met.""",22,"After arriving home to find his apartment has been blown up, the narrator meets Tyler at a bar. Tyler agrees to let the narrator stay with him on one condition: that the narrator hits him. He reluctantly complies, hitting Tyler in the ear, and the two end up enjoying a fistfight outside the bar, which is the birth of 'Fight Club'. ",32,"Fight Club' has been officially established in the basement of the bar, but the owner Lou demands they disband. Tyler convinces Lou to let them stay by instigating Lou to pummel him. Immediately after, a bloodied Tyler gives out his first homework assignment: start a fight with a complete stranger and lose. This marks the beginning of 'Fight Club' evolving into 'Project Mayhem'. ",71,"After a major argument in which the narrator questions Tyler's authority and motives for anti-capitalist vandalism, Tyler disappears from the narrator's life and when Bob (Meat Loaf), a member of 'Project Mayhem' is killed during a mission, the narrator attempts to shut down the project. ",102,"As the narrator travels around the country, trying to retrace Tyler's steps, he discovers that fight clubs have been started in almost every major city, and one of the participants identifies him as Tyler Durden. A phone call from Marla confirms his identity, and he realizes that Tyler is in fact an alter ego of his own split personality.",110,139
The Godfather: Part II,47542841,8.3,rate,105.792936,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]","During the party for his son’s confirmation, Don Michael Corleone (Al Pacino) has a heated discussion with Frankie Pentangeli (Michael V. Gazzo). Frankie, who runs things in New York for the Corleones, isn’t pleased that Michael chooses inaction in the face of attacks against the family. Michael explains he has business with Hyman Roth (Lee Strasberg), and he doesn’t want to mess things up by retaliating against the gangs that Roth controls. Frankie follows Michael’s orders, but he loudly states that Roth is not to be trusted. ",32,"After the party, Michael and his wife Kay (Diane Keaton) barely escape with their lives when massive gunfire explodes through the bedroom window as they’re preparing for bed. Michael appoints his adopted brother Tom Hagen (Robert Duval) as the new Don. This relieves Michael from the day to day responsibilities of Don so that he can track down the traitor that allowed this attack to happen and protect his family with all the tools available to him.",39,"During a business trip, Michael overhears his brother Fredo (John Cazale) explain that Roth’s man Johnny Ola (Dominic Chianese) showed him a good time on his last trip to Cuba; but when Michael had first introduced the two that evening, they both acted as if they had never met before. Michael knows now—Fredo, his own brother, is the traitor.",88,"After the Cuba debacle where Fredo ran away and Roth survived the hit that Michael ordered on him, Michael must face a new crisis—he is put on trial for being the head of The Mafia. He manages to elude the allegations and maintain the family, but Kay threatens to leave him and take the kids with her. He apologizes for the stress of the assassination attempt and trial. Asking forgiveness for inadvertently causing her to miscarry, he explains that now he will change. But she calls him blind, revealing she had an abortion, so the evil of this family would not continue.",130,"A montage of violent assassinations: Hyman Roth is murdered in broad daylight, Frankie Pentangeli follows orders by committing suicide in prison, and Fredo is killed by a family friend during a fishing trip. This last death is the most telling because Fredo had earlier explained that he was the best at catching fish out of all the brothers—accomplishing this feat by saying a Hail Mary before each fish. Fredo says a Hail Mary again, just before he is murdered. This series of deaths illustrates that Michael has, in an ultimate way, chosen “His Family” over his family.",162,200
Whiplash,13092000,8.3,rate,192.528841,"[{""id"": 18, ""name"": ""Drama""}]",,,,,,,,,,,
The Dark Knight,1004558444,8.2,rev,187.322927,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","Lt. Gordon (Gary Oldman) meets Harvey Dent (Aaron Eckhart) in Dent's office, and after Harvey questions Gordon about his involvement with the Batman, Gordon requests search warrants for five banks that are holding the remainder of the mob's money. Dent agrees to back Gordon's search warrants, forming a tenuous trust with the honest Gordon, who in turn hails Dent as Gotham's ""White Knight.""",16,"After Batman (Christian Bale) abducts Lau, the dubious accountant working for Gotham's criminal underworld, from his penthouse office building in Hong Kong and delivers Lau to Gordon back in Gotham, Rachel (Maggie Gyllenhaal) interrogates Lau, who agrees to give the names of all his clients (mobsters) and their pooled investments. Dent can now link all 549 criminals together using the RICO case of conspiracy.",38,"At the press conference Batman told Dent to set up so that he could turn himself in, Dent explains that Batman is a vigilante but that the people of Gotham should hold him accountable and not give in to the fear The Joker (Heath Ledger) has unleashed upon Gotham. But as Bruce Wayne is about to come forward to reveal the truth, Dent announces that he himself is the Batman and gets handcuffed and taken away.",71,"After Rachel dies and half of Dent's face is burnt beyond recognition from explosions set by The Joker, Dent is recovering at Gotham General, where The Joker, disguised as a nurse, enters Harvey's room and explains to Dent (who now refers to himself as Two-Face) that he needs to introduce a little anarchy and chaos. The Joker unties Two-Face and hands him a pistol. Two-Face, bent on revenge, flips his coin to decide whether or not to shoot The Joker, which The Joker agrees is only fair. ",107,"The engines of two ferries – one with criminals and one with civilians – lose power, and The Joker informs the passengers of both boats that they're part of a social experiment. Both boats are set with explosives, each boat having a detonator to the other. If the occupants of one boat don't agree to destroy the other boat by midnight, The Joker will blow up both. But the ultimate twist is on The Joker, as neither of the two ferries will press the button, showing that there is still hope for Gotham.",120,152
Forrest Gump,677945399,8.2,rate,138.133331,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","On his first day of school, Forrest (Tom Hanks) enters the school bus, but all the other kids refuse to let him sit down; however, one little girl named Jenny offers the empty seat next to her, and this sets up Forrest's love affair with Jenny (Robin Wright). Forrest explains, ""From that day we was always together. Jenny and me was like peas and carrots.""",12,"After graduating college, Forrest enlists in the Army and is sent to Vietnam. Forrest is once again on a bus – now a military bus – and the other new recruits refuse to let him sit down: however, a black man named Bubba (Mykelti Williamson) offers him a seat, and the rest is history. Bubba immediately becomes Forrest's ""best good friend.""",32,"While in Washington, D.C. to receive his Medal of Honor, Forrest accidentally ends up on stage as part of an anti-war rally and is asked to speak to thousands of people filling the National Mall. Even though the microphone cuts out during his speech, Jenny – now part of the hippie counterculture – hears his name and yells out from the crowd. Forrest and Jenny run to each other, reuniting in the Reflecting Pool to the cheers of thousands. ",64,"While on his Shrimp boat with Lt. Dan (Gary Sinise), Forrest receives a phone call that his mama (Sally Field) is sick. Upon arriving home, Forrest discovers she's dying of cancer. During this heartfelt farewell, she explains that she was destined to be his mama. But when Forrest asks about his own destiny, she responds, ""Life is like a box of chocolates. You never know what you're going to get.""",99,"Now in present day, Forrest reveals that he is waiting at the bus stop because he received a letter from Jenny and is there to visit her. Once he is reunited with Jenny, Forrest discovers that she has a young son, also named Forrest. Jenny reveals, ""I named him after his daddy."" Forrest discovers that he is the boy's father.",120,142
