year,country,location,tests
1945,China,atmosphere,0
1945,China,underground,0
1945,France,atmosphere,0
1945,France,underground,0
1945,India,atmosphere,0
1945,India,underground,0
1945,North Korea,atmosphere,0
1945,North Korea,underground,0
1945,Pakistan,atmosphere,0
1945,Pakistan,underground,0
1945,Russia,atmosphere,0
1945,Russia,underground,0
1945,United Kingdom,atmosphere,0
1945,United Kingdom,underground,0
1945,United States,atmosphere,1
1945,United States,underground,0
1946,China,atmosphere,0
1946,China,underground,0
1946,France,atmosphere,0
1946,France,underground,0
1946,India,atmosphere,0
1946,India,underground,0
1946,North Korea,atmosphere,0
1946,North Korea,underground,0
1946,Pakistan,atmosphere,0
1946,Pakistan,underground,0
1946,Russia,atmosphere,0
1946,Russia,underground,0
1946,United Kingdom,atmosphere,0
1946,United Kingdom,underground,0
1946,United States,atmosphere,2
1946,United States,underground,0
1947,China,atmosphere,0
1947,China,underground,0
1947,France,atmosphere,0
1947,France,underground,0
1947,India,atmosphere,0
1947,India,underground,0
1947,North Korea,atmosphere,0
1947,North Korea,underground,0
1947,Pakistan,atmosphere,0
1947,Pakistan,underground,0
1947,Russia,atmosphere,0
1947,Russia,underground,0
1947,United Kingdom,atmosphere,0
1947,United Kingdom,underground,0
1947,United States,atmosphere,0
1947,United States,underground,0
1948,China,atmosphere,0
1948,China,underground,0
1948,France,atmosphere,0
1948,France,underground,0
1948,India,atmosphere,0
1948,India,underground,0
1948,North Korea,atmosphere,0
1948,North Korea,underground,0
1948,Pakistan,atmosphere,0
1948,Pakistan,underground,0
1948,Russia,atmosphere,0
1948,Russia,underground,0
1948,United Kingdom,atmosphere,0
1948,United Kingdom,underground,0
1948,United States,atmosphere,3
1948,United States,underground,0
1949,China,atmosphere,0
1949,China,underground,0
1949,France,atmosphere,0
1949,France,underground,0
1949,India,atmosphere,0
1949,India,underground,0
1949,North Korea,atmosphere,0
1949,North Korea,underground,0
1949,Pakistan,atmosphere,0
1949,Pakistan,underground,0
1949,Russia,atmosphere,1
1949,Russia,underground,0
1949,United Kingdom,atmosphere,0
1949,United Kingdom,underground,0
1949,United States,atmosphere,0
1949,United States,underground,0
1950,China,atmosphere,0
1950,China,underground,0
1950,France,atmosphere,0
1950,France,underground,0
1950,India,atmosphere,0
1950,India,underground,0
1950,North Korea,atmosphere,0
1950,North Korea,underground,0
1950,Pakistan,atmosphere,0
1950,Pakistan,underground,0
1950,Russia,atmosphere,0
1950,Russia,underground,0
1950,United Kingdom,atmosphere,0
1950,United Kingdom,underground,0
1950,United States,atmosphere,0
1950,United States,underground,0
1951,China,atmosphere,0
1951,China,underground,0
1951,France,atmosphere,0
1951,France,underground,0
1951,India,atmosphere,0
1951,India,underground,0
1951,North Korea,atmosphere,0
1951,North Korea,underground,0
1951,Pakistan,atmosphere,0
1951,Pakistan,underground,0
1951,Russia,atmosphere,2
1951,Russia,underground,0
1951,United Kingdom,atmosphere,0
1951,United Kingdom,underground,0
1951,United States,atmosphere,15
1951,United States,underground,1
1952,China,atmosphere,0
1952,China,underground,0
1952,France,atmosphere,0
1952,France,underground,0
1952,India,atmosphere,0
1952,India,underground,0
1952,North Korea,atmosphere,0
1952,North Korea,underground,0
1952,Pakistan,atmosphere,0
1952,Pakistan,underground,0
1952,Russia,atmosphere,0
1952,Russia,underground,0
1952,United Kingdom,atmosphere,1
1952,United Kingdom,underground,0
1952,United States,atmosphere,10
1952,United States,underground,0
1953,China,atmosphere,0
1953,China,underground,0
1953,France,atmosphere,0
1953,France,underground,0
1953,India,atmosphere,0
1953,India,underground,0
1953,North Korea,atmosphere,0
1953,North Korea,underground,0
1953,Pakistan,atmosphere,0
1953,Pakistan,underground,0
1953,Russia,atmosphere,5
1953,Russia,underground,0
1953,United Kingdom,atmosphere,2
1953,United Kingdom,underground,0
1953,United States,atmosphere,11
1953,United States,underground,0
1954,China,atmosphere,0
1954,China,underground,0
1954,France,atmosphere,0
1954,France,underground,0
1954,India,atmosphere,0
1954,India,underground,0
1954,North Korea,atmosphere,0
1954,North Korea,underground,0
1954,Pakistan,atmosphere,0
1954,Pakistan,underground,0
1954,Russia,atmosphere,10
1954,Russia,underground,0
1954,United Kingdom,atmosphere,0
1954,United Kingdom,underground,0
1954,United States,atmosphere,6
1954,United States,underground,0
1955,China,atmosphere,0
1955,China,underground,0
1955,France,atmosphere,0
1955,France,underground,0
1955,India,atmosphere,0
1955,India,underground,0
1955,North Korea,atmosphere,0
1955,North Korea,underground,0
1955,Pakistan,atmosphere,0
1955,Pakistan,underground,0
1955,Russia,atmosphere,6
1955,Russia,underground,0
1955,United Kingdom,atmosphere,0
1955,United Kingdom,underground,0
1955,United States,atmosphere,17
1955,United States,underground,1
1956,China,atmosphere,0
1956,China,underground,0
1956,France,atmosphere,0
1956,France,underground,0
1956,India,atmosphere,0
1956,India,underground,0
1956,North Korea,atmosphere,0
1956,North Korea,underground,0
1956,Pakistan,atmosphere,0
1956,Pakistan,underground,0
1956,Russia,atmosphere,9
1956,Russia,underground,0
1956,United Kingdom,atmosphere,6
1956,United Kingdom,underground,0
1956,United States,atmosphere,18
1956,United States,underground,0
1957,China,atmosphere,0
1957,China,underground,0
1957,France,atmosphere,0
1957,France,underground,0
1957,India,atmosphere,0
1957,India,underground,0
1957,North Korea,atmosphere,0
1957,North Korea,underground,0
1957,Pakistan,atmosphere,0
1957,Pakistan,underground,0
1957,Russia,atmosphere,16
1957,Russia,underground,0
1957,United Kingdom,atmosphere,7
1957,United Kingdom,underground,0
1957,United States,atmosphere,27
1957,United States,underground,5
1958,China,atmosphere,0
1958,China,underground,0
1958,France,atmosphere,0
1958,France,underground,0
1958,India,atmosphere,0
1958,India,underground,0
1958,North Korea,atmosphere,0
1958,North Korea,underground,0
1958,Pakistan,atmosphere,0
1958,Pakistan,underground,0
1958,Russia,atmosphere,34
1958,Russia,underground,0
1958,United Kingdom,atmosphere,5
1958,United Kingdom,underground,0
1958,United States,atmosphere,62
1958,United States,underground,15
1959,China,atmosphere,0
1959,China,underground,0
1959,France,atmosphere,0
1959,France,underground,0
1959,India,atmosphere,0
1959,India,underground,0
1959,North Korea,atmosphere,0
1959,North Korea,underground,0
1959,Pakistan,atmosphere,0
1959,Pakistan,underground,0
1959,Russia,atmosphere,0
1959,Russia,underground,0
1959,United Kingdom,atmosphere,0
1959,United Kingdom,underground,0
1959,United States,atmosphere,0
1959,United States,underground,0
1960,China,atmosphere,0
1960,China,underground,0
1960,France,atmosphere,3
1960,France,underground,0
1960,India,atmosphere,0
1960,India,underground,0
1960,North Korea,atmosphere,0
1960,North Korea,underground,0
1960,Pakistan,atmosphere,0
1960,Pakistan,underground,0
1960,Russia,atmosphere,0
1960,Russia,underground,0
1960,United Kingdom,atmosphere,0
1960,United Kingdom,underground,0
1960,United States,atmosphere,0
1960,United States,underground,0
1961,China,atmosphere,0
1961,China,underground,0
1961,France,atmosphere,1
1961,France,underground,1
1961,India,atmosphere,0
1961,India,underground,0
1961,North Korea,atmosphere,0
1961,North Korea,underground,0
1961,Pakistan,atmosphere,0
1961,Pakistan,underground,0
1961,Russia,atmosphere,58
1961,Russia,underground,1
1961,United Kingdom,atmosphere,0
1961,United Kingdom,underground,0
1961,United States,atmosphere,0
1961,United States,underground,10
1962,China,atmosphere,0
1962,China,underground,0
1962,France,atmosphere,0
1962,France,underground,1
1962,India,atmosphere,0
1962,India,underground,0
1962,North Korea,atmosphere,0
1962,North Korea,underground,0
1962,Pakistan,atmosphere,0
1962,Pakistan,underground,0
1962,Russia,atmosphere,78
1962,Russia,underground,1
1962,United Kingdom,atmosphere,0
1962,United Kingdom,underground,2
1962,United States,atmosphere,39
1962,United States,underground,57
1963,China,atmosphere,0
1963,China,underground,0
1963,France,atmosphere,0
1963,France,underground,3
1963,India,atmosphere,0
1963,India,underground,0
1963,North Korea,atmosphere,0
1963,North Korea,underground,0
1963,Pakistan,atmosphere,0
1963,Pakistan,underground,0
1963,Russia,atmosphere,0
1963,Russia,underground,0
1963,United Kingdom,atmosphere,0
1963,United Kingdom,underground,0
1963,United States,atmosphere,4
1963,United States,underground,43
1964,China,atmosphere,1
1964,China,underground,0
1964,France,atmosphere,0
1964,France,underground,3
1964,India,atmosphere,0
1964,India,underground,0
1964,North Korea,atmosphere,0
1964,North Korea,underground,0
1964,Pakistan,atmosphere,0
1964,Pakistan,underground,0
1964,Russia,atmosphere,0
1964,Russia,underground,9
1964,United Kingdom,atmosphere,0
1964,United Kingdom,underground,2
1964,United States,atmosphere,0
1964,United States,underground,45
1965,China,atmosphere,1
1965,China,underground,0
1965,France,atmosphere,0
1965,France,underground,4
1965,India,atmosphere,0
1965,India,underground,0
1965,North Korea,atmosphere,0
1965,North Korea,underground,0
1965,Pakistan,atmosphere,0
1965,Pakistan,underground,0
1965,Russia,atmosphere,0
1965,Russia,underground,14
1965,United Kingdom,atmosphere,0
1965,United Kingdom,underground,1
1965,United States,atmosphere,0
1965,United States,underground,38
1966,China,atmosphere,3
1966,China,underground,0
1966,France,atmosphere,6
1966,France,underground,1
1966,India,atmosphere,0
1966,India,underground,0
1966,North Korea,atmosphere,0
1966,North Korea,underground,0
1966,Pakistan,atmosphere,0
1966,Pakistan,underground,0
1966,Russia,atmosphere,0
1966,Russia,underground,18
1966,United Kingdom,atmosphere,0
1966,United Kingdom,underground,0
1966,United States,atmosphere,0
1966,United States,underground,48
1967,China,atmosphere,2
1967,China,underground,0
1967,France,atmosphere,3
1967,France,underground,0
1967,India,atmosphere,0
1967,India,underground,0
1967,North Korea,atmosphere,0
1967,North Korea,underground,0
1967,Pakistan,atmosphere,0
